service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
24_merged_3044693,20181015,20181216,0,0,0,0,0,0,0
5_merged_3044689,20180827,20181014,0,0,0,1,0,0,0
10_merged_3044678,20180827,20181014,0,1,0,0,0,0,0
1_merged_3044687,20180827,20181014,0,0,0,0,1,0,0
24_merged_3044677,20180827,20181014,0,0,0,0,0,0,0
9_merged_3044707,20181015,20181216,0,0,1,0,0,0,0
21_merged_3044682,20180827,20181014,0,0,0,0,0,0,0
22_merged_3044699,20181015,20181216,0,0,0,0,0,0,0
26_merged_3044679,20180827,20181014,0,0,0,0,0,0,0
18_merged_3044701,20181015,20181216,0,0,0,0,0,0,0
9_merged_3044691,20180827,20181014,0,0,1,0,0,0,0
23_merged_3044702,20181015,20181216,0,0,0,0,0,0,0
25_merged_3044692,20180827,20181014,0,0,0,0,0,0,0
4_merged_3044706,20181015,20181216,0,0,0,0,0,0,1
20_merged_3044697,20181015,20181216,0,0,0,0,0,0,0
5_merged_3044705,20181015,20181216,0,0,0,1,0,0,0
27_merged_3044680,20180827,20181014,0,0,0,0,0,0,0
23_merged_3044686,20180827,20181014,0,0,0,0,0,0,0
20_merged_3044681,20180827,20181014,0,0,0,0,0,0,0
21_merged_3044698,20181015,20181216,0,0,0,0,0,0,0
22_merged_3044683,20180827,20181014,0,0,0,0,0,0,0
4_merged_3044690,20180827,20181014,0,0,0,0,0,0,1
18_merged_3044685,20180827,20181014,0,0,0,0,0,0,0
10_merged_3044694,20181015,20181216,0,1,0,0,0,0,0
25_merged_3044708,20181015,20181216,0,0,0,0,0,0,0
1_merged_3044703,20181015,20181216,0,0,0,0,1,0,0
3_merged_3044704,20181015,20181216,0,0,0,0,0,1,0
26_merged_3044695,20181015,20181216,0,0,0,0,0,0,0
16_merged_3044700,20181015,20181216,1,0,0,0,0,0,0
3_merged_3044688,20180827,20181014,0,0,0,0,0,1,0
27_merged_3044696,20181015,20181216,0,0,0,0,0,0,0
16_merged_3044684,20180827,20181014,1,0,0,0,0,0,0
