block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_392843,0,23,0,1,23 HASLETT - MSU,42687,16_merged_3044684,2978399,
a_392843,0,23,0,1,23 HASLETT - MSU,42687,16_merged_3044684,2978398,
a_392684,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975149,
a_392688,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975148,
a_392684,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975143,
a_392688,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975142,
a_392686,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975141,
a_392687,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975140,
a_392683,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975147,
a_392685,0,09,0,1,9 S MARTIN L KING - DOWNTOWN,42654,5_merged_3044689,2975146,
a_392686,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975145,
a_392687,0,09,0,1,9 HILL VOC CTR - S MARTIN L KING - DOWNTOWN,42652,5_merged_3044689,2975144,
b_395524,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026624,
b_395520,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026625,
b_395521,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026626,
b_395516,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026627,
b_395517,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026620,
b_395522,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026621,
b_395518,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026622,
b_395519,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026623,
b_395515,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026628,
b_395525,0,01,0,0,1 MERIDIAN MALL,42894,9_merged_3044707,3026629,
a_393348,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,16_merged_3044684,2986967,
a_393348,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,16_merged_3044684,2986966,
a_393348,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,16_merged_3044684,2986965,
a_393348,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,16_merged_3044684,2986964,
a_393348,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,16_merged_3044684,2986969,
a_393348,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,16_merged_3044684,2986968,
a_392844,0,23,0,0,23 OKEMOS - MERIDIAN MALL,42686,16_merged_3044684,2978391,
a_392928,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,5_merged_3044689,2980268,
a_392842,0,23,0,0,23 OKEMOS - MERIDIAN MALL,42686,16_merged_3044684,2978390,
a_394132,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,42676,10_merged_3044678,2998017,
a_392842,0,23,0,0,23 OKEMOS - MERIDIAN MALL,42686,16_merged_3044684,2978393,
a_392843,0,23,0,0,23 OKEMOS - MERIDIAN MALL,42686,16_merged_3044684,2978392,
a_392843,0,23,0,1,23 HASLETT - MSU,42687,16_merged_3044684,2978395,
b_395621,0,03,0,1,3 WILLOW - DOWNTOWN,42906,9_merged_3044707,3028350,
a_392844,0,23,0,0,23 OKEMOS - MERIDIAN MALL,42686,16_merged_3044684,2978394,
a_392843,0,23,0,1,23 HASLETT - MSU,42687,16_merged_3044684,2978397,
a_392844,0,23,0,1,23 HASLETT - MSU,42687,16_merged_3044684,2978396,
b_395620,0,03,0,1,3 WILLOW - DOWNTOWN,42906,9_merged_3044707,3028351,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999354,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999355,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999356,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999357,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999350,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999351,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999352,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999353,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999358,
a_394178,0,39,0,0,UNIVERSITY VILLAGE,42889,10_merged_3044678,2999359,
a_394224,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42633,10_merged_3044678,3001869,
a_394221,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42633,10_merged_3044678,3001868,
a_392763,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,42674,9_merged_3044691,2977169,
a_392763,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,42673,9_merged_3044691,2977168,
a_392763,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,42674,9_merged_3044691,2977167,
a_392763,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,42674,9_merged_3044691,2977166,
a_392763,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,42674,9_merged_3044691,2977165,
a_392763,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,42674,9_merged_3044691,2977164,
a_392549,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42630,10_merged_3044678,3001861,
a_394224,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42630,10_merged_3044678,3001860,
a_394225,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42630,10_merged_3044678,3001863,
a_394222,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42630,10_merged_3044678,3001862,
b_395622,0,03,0,1,3 WILLOW - DOWNTOWN,42906,9_merged_3044707,3028359,
a_392925,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980109,
a_392923,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980108,
a_392923,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980103,
a_392922,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980102,
a_392920,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980101,
a_392921,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980100,
a_392922,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980107,
a_392920,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980106,
a_392921,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980105,
a_392924,0,26,0,1,26 ABBOT/E LANSING/MSU,42694,9_merged_3044691,2980104,
a_392928,0,26,0,0,26 ABBOT/CHANDLER,42692,5_merged_3044689,2980198,
a_392930,0,26,0,0,26 ABBOT/CHANDLER,42692,5_merged_3044689,2980199,
b_395687,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42912,1_merged_3044703,3029317,
b_395692,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029412,
b_395691,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029413,
b_395691,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029410,
b_395690,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029411,
b_395692,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029416,
b_395691,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029417,
b_395692,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029414,
b_395691,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029415,
b_395684,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42912,1_merged_3044703,3029311,
b_395692,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029418,
b_395691,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,42915,3_merged_3044704,3029419,
b_395687,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42912,1_merged_3044703,3029310,
b_395687,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42912,1_merged_3044703,3029313,
b_395689,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,42912,1_merged_3044703,3029312,
a_394360,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004743,
a_394359,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004742,
a_394362,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004741,
a_392390,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004740,
a_394360,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004747,
a_394362,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004746,
a_394336,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004745,
a_394361,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004744,
a_394336,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004749,
a_394361,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,42648,16_merged_3044684,3004748,
a_392892,0,25,0,1,NORTH HARRISON - E LANSING/MSU,42691,10_merged_3044678,2979257,
a_392892,0,25,0,1,NORTH HARRISON - E LANSING/MSU,42691,10_merged_3044678,2979256,
a_392893,0,25,0,1,NORTH HARRISON - E LANSING/MSU,42691,10_merged_3044678,2979255,
a_392892,0,25,0,0,25 NORTH HARRISON/ABBOT,42690,10_merged_3044678,2979254,
a_392893,0,25,0,0,25 NORTH HARRISON/ABBOT,42690,10_merged_3044678,2979253,
a_392892,0,25,0,0,25 NORTH HARRISON/ABBOT,42690,10_merged_3044678,2979252,
a_392893,0,25,0,0,25 NORTH HARRISON/ABBOT,42690,10_merged_3044678,2979251,
a_392892,0,25,0,0,25 NORTH HARRISON/ABBOT,42690,10_merged_3044678,2979250,
a_392893,0,25,0,1,NORTH HARRISON - E LANSING/MSU,42691,10_merged_3044678,2979259,
a_392892,0,25,0,1,NORTH HARRISON - E LANSING/MSU,42691,10_merged_3044678,2979258,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002749,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002748,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002745,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002744,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002747,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002746,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002741,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002740,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002743,
a_394258,0,38,0,0,SPARTAN VILLAGE,42883,1_merged_3044687,3002742,
b_395628,0,03,0,0,3 WILLOW - LANSING MALL,42904,1_merged_3044703,3028439,
b_395629,0,03,0,0,3 WILLOW - LANSING MALL,42904,1_merged_3044703,3028438,
b_395630,0,03,0,0,3 WILLOW - LANSING MALL,42904,1_merged_3044703,3028433,
b_395629,0,03,0,0,3 WILLOW - LANSING MALL,42904,1_merged_3044703,3028432,
b_395628,0,03,0,0,3 WILLOW - LANSING MALL,42904,1_merged_3044703,3028431,
b_395629,0,03,0,0,3 WILLOW - LANSING MALL,42904,1_merged_3044703,3028430,
